Year,Category,Name,Month,Time,Status,Latitude,Longitude,Maximum Wind
1919,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920,TS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1920,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1921,TS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1921,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1921,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1921,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1921,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1921,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1922,TS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
