,ID,Name,Date,Time,Status,Latitude,Longitude,Maximum Wind
274,AL031853,            UNNAMED,1853-09-09,0, HU,39.0N,62.3W,100
275,AL031853,            UNNAMED,1853-09-09,600, HU,39.9N,59.4W,90
276,AL031853,            UNNAMED,1853-09-09,1200, HU,40.8N,56.8W,80
277,AL031853,            UNNAMED,1853-09-09,1800, HU,41.9N,53.4W,70
278,AL031853,            UNNAMED,1853-09-10,0, HU,42.9N,49.5W,70
279,AL031853,            UNNAMED,1853-09-10,600, HU,43.9N,45.5W,70
280,AL031853,            UNNAMED,1853-09-10,1200, HU,45.0N,41.2W,70
281,AL031853,            UNNAMED,1853-09-10,1800, HU,46.2N,36.2W,70
282,AL041853,            UNNAMED,1853-09-08,0, HU,37.0N,53.0W,100
283,AL041853,            UNNAMED,1853-09-08,600, HU,38.0N,51.0W,100
284,AL041853,            UNNAMED,1853-09-08,1200, HU,39.0N,49.0W,100
285,AL041853,            UNNAMED,1853-09-08,1800, HU,40.0N,46.8W,100
286,AL041853,            UNNAMED,1853-09-09,0, HU,41.3N,44.0W,100
287,AL041853,            UNNAMED,1853-09-09,600, HU,42.5N,41.5W,100
288,AL041853,            UNNAMED,1853-09-09,1200, HU,43.4N,39.3W,100
289,AL041853,            UNNAMED,1853-09-09,1800, HU,44.5N,37.2W,100
290,AL041853,            UNNAMED,1853-09-10,0, HU,45.5N,34.7W,100
291,AL041853,            UNNAMED,1853-09-10,600, HU,46.3N,32.3W,100
292,AL041853,            UNNAMED,1853-09-10,1200, HU,47.0N,30.0W,90
293,AL041853,            UNNAMED,1853-09-10,1800, HU,48.0N,27.5W,90
294,AL051853,            UNNAMED,1853-09-21,1200, TS,20.0N,95.0W,50
295,AL061853,            UNNAMED,1853-09-26,0, TS,25.8N,62.0W,50
296,AL061853,            UNNAMED,1853-09-26,600, TS,27.4N,62.5W,50
297,AL061853,            UNNAMED,1853-09-26,1200, TS,29.0N,62.9W,50
298,AL061853,            UNNAMED,1853-09-26,1800, TS,30.6N,63.2W,50
299,AL061853,            UNNAMED,1853-09-27,0, TS,32.9N,62.6W,60
300,AL061853,            UNNAMED,1853-09-27,600, TS,34.8N,61.3W,60
301,AL061853,            UNNAMED,1853-09-27,1200, HU,36.0N,59.8W,70
302,AL061853,            UNNAMED,1853-09-27,1800, HU,36.7N,58.4W,70
303,AL061853,            UNNAMED,1853-09-28,0, HU,36.8N,57.4W,70
304,AL061853,            UNNAMED,1853-09-28,600, HU,36.3N,56.7W,70
305,AL061853,            UNNAMED,1853-09-28,1200, HU,35.5N,56.9W,70
306,AL061853,            UNNAMED,1853-09-28,1800, HU,35.5N,57.0W,70
307,AL061853,            UNNAMED,1853-09-29,0, HU,35.4N,57.2W,70
308,AL061853,            UNNAMED,1853-09-29,600, HU,35.3N,57.4W,70
309,AL061853,            UNNAMED,1853-09-29,1200, HU,35.3N,57.7W,70
310,AL061853,            UNNAMED,1853-09-29,1800, HU,35.4N,57.9W,70
311,AL061853,            UNNAMED,1853-09-30,0, HU,35.5N,58.1W,70
312,AL061853,            UNNAMED,1853-09-30,600, HU,35.5N,58.2W,70
313,AL061853,            UNNAMED,1853-09-30,1200, HU,35.8N,58.3W,70
314,AL061853,            UNNAMED,1853-09-30,1800, HU,36.3N,58.0W,70
315,AL061853,            UNNAMED,1853-10-01,0, HU,37.0N,57.5W,70
316,AL061853,            UNNAMED,1853-10-01,600, HU,38.0N,56.8W,70
317,AL071853,            UNNAMED,1853-09-28,1200, TS,15.0N,37.0W,50
318,AL081853,            UNNAMED,1853-10-19,0, HU,27.5N,78.5W,70
319,AL081853,            UNNAMED,1853-10-19,600, HU,28.0N,78.9W,70
320,AL081853,            UNNAMED,1853-10-19,1200, HU,28.5N,79.3W,80
321,AL081853,            UNNAMED,1853-10-19,1800, HU,28.9N,79.6W,80
322,AL081853,            UNNAMED,1853-10-20,0, HU,29.3N,79.9W,80
323,AL081853,            UNNAMED,1853-10-20,600, HU,29.7N,80.2W,80
324,AL081853,            UNNAMED,1853-10-20,1200, HU,30.0N,80.5W,90
325,AL081853,            UNNAMED,1853-10-20,1800, HU,30.3N,80.7W,90
326,AL081853,            UNNAMED,1853-10-21,0, HU,30.6N,80.9W,90
327,AL081853,            UNNAMED,1853-10-21,600, HU,30.9N,80.9W,90
328,AL081853,            UNNAMED,1853-10-21,1200, HU,31.3N,80.6W,80
329,AL081853,            UNNAMED,1853-10-21,1800, HU,31.7N,80.1W,80
330,AL081853,            UNNAMED,1853-10-22,0, HU,32.1N,79.4W,80
331,AL081853,            UNNAMED,1853-10-22,600, HU,32.5N,78.5W,80
332,AL011854,            UNNAMED,1854-06-25,0, TS,26.0N,92.5W,60
333,AL011854,            UNNAMED,1854-06-25,600, TS,26.0N,93.0W,60
334,AL011854,            UNNAMED,1854-06-25,1200, HU,26.0N,93.5W,70
335,AL011854,            UNNAMED,1854-06-25,1800, HU,26.0N,94.0W,70
336,AL011854,            UNNAMED,1854-06-26,0, HU,26.0N,94.7W,70
337,AL011854,            UNNAMED,1854-06-26,600, HU,26.1N,95.7W,70
338,AL011854,            UNNAMED,1854-06-26,1200, HU,26.2N,97.0W,70
339,AL011854,            UNNAMED,1854-06-26,1800, TS,26.4N,98.5W,50
340,AL011854,            UNNAMED,1854-06-27,0, TS,26.8N,100.0W,40
341,AL011854,            UNNAMED,1854-06-27,600, TS,27.4N,101.5W,40
342,AL011854,            UNNAMED,1854-06-27,1200, TS,28.0N,103.0W,40
343,AL021854,            UNNAMED,1854-08-23,1200, TS,33.0N,55.0W,60
344,AL031854,            UNNAMED,1854-09-07,0, HU,26.4N,76.6W,110
345,AL031854,            UNNAMED,1854-09-07,600, HU,27.2N,77.6W,110
346,AL031854,            UNNAMED,1854-09-07,1200, HU,28.0N,78.6W,110
347,AL031854,            UNNAMED,1854-09-07,1800, HU,28.8N,79.6W,110
348,AL031854,            UNNAMED,1854-09-08,0, HU,29.6N,80.3W,110
